"Gene","Astrocytes","Endothelial","Hybrid","Microglia","Neurons","Oli","OPC","Unidentified","GeneList","LncList","ENS"
"GFAP",1.98,1.674,2.242,0.8526,1.926,1.803,1.318,1.88,TRUE,FALSE,"ENSG00000131095"
"SLC1A2",-1.585,NA,-0.8507,NA,NA,-0.5897,NA,NA,TRUE,FALSE,"ENSG00000110436"
"PDE4D",-1.229,NA,NA,-0.642,NA,-0.6623,NA,NA,TRUE,FALSE,"ENSG00000113448"
"NHSL1",-1.215,NA,NA,1.049,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000135540"
"FRMD4A",-1.275,NA,-1.569,-0.7588,NA,NA,NA,-0.7693,TRUE,FALSE,"ENSG00000151474"
"CTNNA2",-0.7012,NA,-1.052,NA,NA,-1.459,-0.5555,-0.5639,TRUE,FALSE,"ENSG00000066032"
"RORA",-0.6277,NA,NA,NA,NA,-0.617,NA,NA,TRUE,FALSE,"ENSG00000069667"
"ARHGEF3",1.162,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000163947"
"RGS7",-1.082,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000182901"
"ALDH1L1",0.9264,NA,0.8912,NA,NA,NA,0.5532,0.7154,TRUE,FALSE,"ENSG00000144908"
"HSP90AA1",0.968,1.796,1.804,NA,NA,0.7805,0.8866,1.243,TRUE,FALSE,"ENSG00000080824"
"MBP",0.8508,NA,NA,NA,1.057,NA,NA,NA,TRUE,FALSE,"ENSG00000197971"
"KNOP1",0.8748,NA,NA,NA,NA,0.5678,NA,NA,TRUE,FALSE,"ENSG00000103550"
"SLC25A29",0.8784,NA,0.8378,NA,NA,NA,NA,0.7662,TRUE,FALSE,"ENSG00000197119"
"CACNA2D3",0.8726,-1.646,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000157445"
"L3MBTL4",0.9034,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000154655"
"DLG2",-0.6651,NA,-0.6919,-0.6098,NA,-0.6314,-0.5737,-0.581,TRUE,FALSE,"ENSG00000150672"
"SYNM",0.8023,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000182253"
"AHI1",0.7032,NA,NA,NA,0.5034,NA,NA,NA,TRUE,FALSE,"ENSG00000135541"
"LRP4-AS1",-0.9585,NA,-0.9322,NA,NA,NA,-0.6525,NA,FALSE,TRUE,"ENSG00000247675"
"DHCR24",0.787,NA,1.332,NA,0.8593,0.7909,NA,0.835,TRUE,FALSE,"ENSG00000116133"
"PPFIA1",0.7263,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000131626"
"SLC20A2",0.8223,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000168575"
"SLC6A8",0.8407,1.379,0.9902,NA,NA,0.9617,0.557,0.7193,TRUE,FALSE,"ENSG00000130821"
"ENTPD1-AS1",-0.8025,NA,-0.6409,NA,NA,NA,-0.7778,NA,FALSE,TRUE,"ENSG00000226688"
"SRGAP3",-0.8488,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000196220"
"NR4A1",-0.8842,NA,NA,NA,NA,NA,NA,-0.5236,TRUE,FALSE,"ENSG00000123358"
"PDE7B",-0.7638,NA,NA,NA,NA,NA,NA,-0.523,TRUE,FALSE,"ENSG00000171408"
"ENTPD1",-0.899,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000138185"
"PHLPP1",-0.6456,NA,-0.8832,NA,NA,NA,-0.5265,NA,TRUE,FALSE,"ENSG00000081913"
"CDH23",0.7335,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000107736"
"HSP90B1",0.7622,NA,0.9741,1.364,NA,NA,NA,0.6271,TRUE,FALSE,"ENSG00000166598"
"EDNRB",-0.7991,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000136160"
"SLC24A3",-0.7723,-1.49,NA,NA,-0.6382,NA,NA,NA,TRUE,FALSE,"ENSG00000185052"
"HDAC7",0.7094,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000061273"
"ECE1",0.7,NA,0.8276,NA,NA,0.5402,NA,NA,TRUE,FALSE,"ENSG00000117298"
"VIM",0.6493,NA,-1.48,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000026025"
"FKBP4",0.6202,1.431,1.353,NA,0.6432,0.7631,NA,0.7366,TRUE,FALSE,"ENSG00000004478"
"PLCD3",0.6336,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000161714"
"SUMF1",-0.6943,NA,-0.7733,-0.7086,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000144455"
"STXBP5",-0.6014,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000164506"
"PLOD3",0.6389,NA,1.381,NA,NA,0.681,0.6717,0.6536,TRUE,FALSE,"ENSG00000106397"
"MAMDC2-AS1",0.5862,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000204706"
"S100A1",-0.6618,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000160678"
"DYNC1LI2",0.6282,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000135720"
"MBD5",-0.5203,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000204406"
"SESN3",-0.6314,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000149212"
"MAPT",0.5413,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000186868"
"RAP2C-AS1",-0.6069,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000232160"
"MAMDC2",-0.6539,NA,NA,-0.7747,NA,NA,NA,-0.5522,TRUE,FALSE,"ENSG00000165072"
"PHLDB1",0.5722,NA,0.6902,NA,NA,NA,0.5968,0.6225,TRUE,FALSE,"ENSG00000019144"
"TTN-AS1",-0.6203,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000237298"
"PTOV1",0.5699,NA,0.8584,NA,NA,NA,0.6655,0.5584,TRUE,FALSE,"ENSG00000104960"
"LRRC49",-0.6075,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000137821"
"SLC25A12",-0.6071,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000115840"
"SEC61A1",0.5577,NA,0.7637,NA,0.5349,NA,0.5401,0.7353,TRUE,FALSE,"ENSG00000058262"
"ZNF518A",-0.5081,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000177853"
"CLDN11",0.5523,NA,NA,NA,0.5897,NA,0.6048,NA,TRUE,FALSE,"ENSG00000013297"
"GNG12-AS1",-0.5793,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000232284"
"PC",0.5453,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000173599"
"NEGR1",-0.54,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000172260"
"GSTM3",-0.5497,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000134202"
"MFF",-0.5451,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000168958"
"BDNF-AS",-0.5026,1.474,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000245573"
"SLC7A11",NA,-3.74,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000151012"
"KCNMA1",NA,-3.382,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000156113"
"MEF2C",NA,1.652,NA,-0.8324,NA,NA,-0.5328,NA,TRUE,FALSE,"ENSG00000081189"
"SPARC",NA,1.697,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000113140"
"NDRG2",NA,1.583,1.038,0.6289,1.042,0.8317,0.6854,1.089,TRUE,FALSE,"ENSG00000165795"
"TPM1",NA,-1.806,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000140416"
"JAG1",NA,1.414,0.5004,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000101384"
"TMSB10",NA,1.696,NA,NA,NA,NA,NA,-0.5663,TRUE,FALSE,"ENSG00000034510"
"ENG",NA,1.425,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000106991"
"MYL6",NA,1.148,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000092841"
"ARNT2",NA,-1.474,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000172379"
"DLG1",NA,NA,-1.25,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000075711"
"RAPGEF3",NA,NA,1.187,NA,0.8904,0.9331,1.013,1.372,TRUE,FALSE,"ENSG00000079337"
"NUMA1",NA,NA,1.285,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000137497"
"KAZN",NA,NA,-0.9828,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000189337"
"LGI3",NA,NA,1.105,NA,0.7713,NA,0.7591,0.8292,TRUE,FALSE,"ENSG00000168481"
"YPEL3",NA,NA,0.9919,NA,0.871,0.5591,0.6533,0.5797,TRUE,FALSE,"ENSG00000090238"
"UST",NA,NA,-0.8696,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000111962"
"PPFIA2",NA,NA,-0.7426,NA,NA,-0.5413,-0.5791,NA,TRUE,FALSE,"ENSG00000139220"
"ZNF32",NA,NA,0.6884,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000169740"
"LSM7",NA,NA,0.9352,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000130332"
"FLI1",NA,NA,-0.5058,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000151702"
"MORF4L2",NA,NA,0.8426,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000123562"
"CLK3",NA,NA,0.6139,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000179335"
"TNR",NA,NA,-0.7309,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000116147"
"PDE5A",NA,NA,-0.7604,NA,-0.8535,NA,NA,NA,TRUE,FALSE,"ENSG00000138735"
"PCBP1",NA,NA,0.7828,NA,0.5404,NA,NA,0.7049,TRUE,FALSE,"ENSG00000169564"
"CFTR",NA,NA,-0.6679,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000001626"
"PTPRK",NA,NA,-0.6408,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000152894"
"ARAP1",NA,NA,0.7692,NA,NA,NA,NA,0.6361,TRUE,FALSE,"ENSG00000186635"
"LPGAT1",NA,NA,-0.7579,NA,NA,-0.538,NA,NA,TRUE,FALSE,"ENSG00000123684"
"RUSC1",NA,NA,0.7379,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000160753"
"SEMA6A-AS1",NA,NA,-0.5723,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000248445"
"AZIN1-AS1",NA,NA,-0.5338,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000253320"
"ZHX3",NA,NA,-0.6942,NA,NA,NA,0.5095,NA,TRUE,FALSE,"ENSG00000174306"
"CEBPZ",NA,NA,-0.5612,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000115816"
"RNF220",NA,NA,-0.601,NA,NA,NA,0.5763,NA,TRUE,FALSE,"ENSG00000187147"
"PPP2R1A",NA,NA,0.7629,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000105568"
"ATP13A3",NA,NA,-0.5722,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000133657"
"PSMD13",NA,NA,0.6823,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000185627"
"COL16A1",NA,NA,0.7437,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000084636"
"KCNQ1OT1",NA,NA,-0.6665,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000269821"
"AP1G2",NA,NA,0.6898,NA,0.6733,NA,NA,NA,TRUE,FALSE,"ENSG00000213983"
"PEX5L",NA,NA,-0.5822,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000114757"
"EPM2A",NA,NA,-0.5523,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000112425"
"DAAM2",NA,NA,-0.596,NA,0.5327,NA,NA,NA,TRUE,FALSE,"ENSG00000146122"
"MKRN3",NA,NA,-0.5899,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000179455"
"PIEZO1",NA,NA,0.5276,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000103335"
"SYVN1",NA,NA,0.6149,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000162298"
"ZNF462",NA,NA,-0.5794,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000148143"
"C5orf56",NA,NA,-0.554,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000197536"
"MEG3",NA,NA,0.598,NA,-0.5479,NA,-0.626,-0.5126,FALSE,TRUE,"ENSG00000214548"
"COBL",NA,NA,-0.5277,NA,NA,NA,NA,-0.5318,TRUE,FALSE,"ENSG00000106078"
"METAP1D",NA,NA,-0.5315,NA,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000172878"
"NUTM2A-AS1",NA,NA,-0.5416,NA,NA,NA,NA,NA,FALSE,TRUE,"ENSG00000223482"
"IPO9-AS1",NA,NA,-0.5572,NA,NA,NA,NA,-0.5809,FALSE,TRUE,"ENSG00000231871"
"TBC1D14",NA,NA,NA,0.9271,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000132405"
"MKNK1",NA,NA,NA,-0.7897,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000079277"
"TTC7A",NA,NA,NA,-0.7383,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000068724"
"PHC2",NA,NA,NA,0.7525,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000134686"
"ALDH1A2",NA,NA,NA,0.6348,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000128918"
"PRKRA",NA,NA,NA,-0.5047,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000180228"
"ZNF710",NA,NA,NA,-0.6635,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000140548"
"KLHL18",NA,NA,NA,-0.5731,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000114648"
"LINC-PINT",NA,NA,NA,-0.6098,NA,NA,0.6107,NA,FALSE,TRUE,"ENSG00000231721"
"TPRG1",NA,NA,NA,0.6482,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000188001"
"SLC37A1",NA,NA,NA,0.5416,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000160190"
"TNPO1",NA,NA,NA,0.6374,NA,NA,NA,NA,TRUE,FALSE,"ENSG00000083312"
"CXCL14",NA,NA,NA,NA,-1.651,NA,NA,-1.01,TRUE,FALSE,"ENSG00000145824"
"CHN2",NA,NA,NA,NA,-1.042,NA,NA,NA,TRUE,FALSE,"ENSG00000106069"
"THSD7A",NA,NA,NA,NA,-0.7874,NA,-0.8568,NA,TRUE,FALSE,"ENSG00000005108"
"SSBP1",NA,NA,NA,NA,0.7703,NA,NA,NA,TRUE,FALSE,"ENSG00000106028"
"ZIM2",NA,NA,NA,NA,0.7175,NA,NA,NA,TRUE,FALSE,"ENSG00000269699"
"UBA6-AS1",NA,NA,NA,NA,-0.7118,NA,NA,NA,FALSE,TRUE,"ENSG00000248049"
"BTG1",NA,NA,NA,NA,-0.7531,NA,NA,NA,TRUE,FALSE,"ENSG00000133639"
"SATB2",NA,NA,NA,NA,0.5547,NA,NA,NA,TRUE,FALSE,"ENSG00000119042"
"ZCCHC24",NA,NA,NA,NA,0.5769,NA,NA,0.6874,TRUE,FALSE,"ENSG00000165424"
"IL16",NA,NA,NA,NA,-0.5798,NA,NA,NA,TRUE,FALSE,"ENSG00000172349"
"CELF1",NA,NA,NA,NA,0.5317,NA,NA,NA,TRUE,FALSE,"ENSG00000149187"
"SGMS1",NA,NA,NA,NA,0.5273,NA,NA,NA,TRUE,FALSE,"ENSG00000198964"
"LIFR",NA,NA,NA,NA,NA,NA,1.062,NA,TRUE,FALSE,"ENSG00000113594"
"REV3L",NA,NA,NA,NA,NA,NA,-0.9469,-0.8036,TRUE,FALSE,"ENSG00000009413"
"MKLN1",NA,NA,NA,NA,NA,NA,0.6414,NA,TRUE,FALSE,"ENSG00000128585"
"CD82",NA,NA,NA,NA,NA,NA,0.7568,0.5874,TRUE,FALSE,"ENSG00000085117"
"MED12L",NA,NA,NA,NA,NA,NA,-0.831,NA,TRUE,FALSE,"ENSG00000144893"
"SEMA6A",NA,NA,NA,NA,NA,NA,-0.775,-0.5869,TRUE,FALSE,"ENSG00000092421"
"LRRN1",NA,NA,NA,NA,NA,NA,-0.6696,NA,TRUE,FALSE,"ENSG00000175928"
"PLA2G4C",NA,NA,NA,NA,NA,NA,0.5421,NA,TRUE,FALSE,"ENSG00000105499"
"TMEM147",NA,NA,NA,NA,NA,NA,-0.544,NA,TRUE,FALSE,"ENSG00000105677"
"ID2",NA,NA,NA,NA,NA,NA,-0.5209,-0.5268,TRUE,FALSE,"ENSG00000115738"
"KCNQ1",NA,NA,NA,NA,NA,NA,-0.5675,NA,TRUE,FALSE,"ENSG00000053918"
"CTBP1",NA,NA,NA,NA,NA,NA,NA,0.6198,TRUE,FALSE,"ENSG00000159692"
"LRP4",NA,NA,NA,NA,NA,NA,NA,0.636,TRUE,FALSE,"ENSG00000134569"
"SRRM2",NA,NA,NA,NA,NA,NA,NA,0.6164,TRUE,FALSE,"ENSG00000167978"
"FAU",NA,NA,NA,NA,NA,NA,NA,-0.5509,TRUE,FALSE,"ENSG00000149806"
"MBNL1",NA,NA,NA,NA,NA,NA,NA,0.5411,TRUE,FALSE,"ENSG00000152601"
